"flid","ord","ordflokkur","texti"
7306,"bumbuslagari","n m","sá eða sú sem slær stóra trommu"
7307,"bumbusláttur","n m","það að slá stóra trommu"
61565,"saxafónn","n m","framburðarmynd af saxófónn"
64800,"útilistaverk","n n","listaverk utanhúss, oft höggmynd"
7884,"dansleikur","n m","skemmtun sem fólk sækir til þess að stíga dans"
8845,"dúett","n m","lag fyrir tvær söngraddir eða tvö hljóðfæri"
64974,"verslunarkjarni","n m","bygging sem hýsir margar verslanir"
55967,"eignarhlutur","n m","eign í hlutfalli við eign annarra eigenda í sameign"
50956,"meðalmaður","n m","maður sem er eins og flestir, t.d. hvað varðar hæð, þyngd og greind"
9587,"einkaflugmaður","n m","flugmaður sem hefur réttindi til þess að fljúga með vini og vandamenn hvert á land sem er í sjónflugsskilyrðum án endurgjalds"
9515,"einfaldleiki","n m","það að e-ð er einfalt, ekki flókið"
11877,"fjörukambur","n m","malarhryggur efst í fjöru"
10056,"endaþarmur","n m","síðasti hluti meltingarvegarins"
10446,"faktor","n m","verslunarstjóri"
10557,"farandgripur","n m","verðlaunagripur sem gengur frá einum sigurvegara til annars en er ekki til eignar"
10618,"farprestur","n m","prestur sem er sérstaklega skipaður til að sinna afleysingum"
10968,"ferðapeli","n m","lítil, flöt vínflaska, vasapeli"
61566,"orðastæða","n f","tvö eða fleiri orð sem standa saman í föstu sambandi, t.d. 'ná árangri'"
50960,"ferðaþjónustubóndi","n m","sá eða sú sem rekur ferðaþjónustu (t.d. gistihús) á sveitabæ"
27361,"lögerfingi","n m","sá eða sú sem á að taka arf beinlínis eftir erfðalögum"
11365,"fituhlunkur","n m","niðrandi orð um feitan mann eða dýr"
27366,"lögfræði","n f","fræðigrein sem fjallar um setningu, hlutverk og túlkun laga og reglna í samfélaginu"
12701,"fornmunur","n m","mjög gamall hlutur (eins og er t.d. á safni), forngripur"
61567,"orðhlutafræði","n f","fræðin um myndun orða, morfólógía"
29978,"norðan yfir","prae","úr norðurátt yfir (e-t landsvæði)"
13178,"framhlaðningur","n m","byssa sem hlaðin er í framanvert hlaupið"
13128,"framfærandi","n m","sá eða sú sem framfleytir e-m, hefur e-n á sínu framfæri"
61568,"áherslulaus","adj","sem ekki hefur áherslu í framburði"
13531,"fréttaritari","n m","sá eða sú sem aflar frétta fyrir fjölmiðil fjarri höfuðstöðvum hans (t.d. í öðru landi)"
13817,"frumlitur","n m","einn af þeim þremur litum (rauður, gulur, blár) sem allir aðrir litir eru blandaðir úr"
14772,"galti","n m","stór heysáta"
14646,"gaffallyftari","n m","vinnuvél, notuð til að færa til vörubretti og aðra þunga hluti"
14978,"gáfumaður","n m","maður sem er gáfaður"
15809,"glerskurður","n m","það að búa til hluti úr gleri t.d. rúður og spegla"
61569,"gervifrumlag","n n","orð sem tekur stöðu venjulegs frumlags, t.d. 'það' í 'það snjóar' og 'það er álitið nauðsynlegt'"
61570,"aukafallsfrumlag","n n","frumlag í aukafalli, t.d. 'mig' í 'mig langar' og 'mér' í 'mér líkar þetta vel'"
47597,"þrýstihópur","n m","hópur manna sem beitir þvingunaráhrifum á samfélagið til að koma fram hagsmunamálum sínum"
47927,"þykkblöðungur","n m","planta með þykk og safarík blöð og/eða stöngla sem geta geymt mikið vatn, m.a. allir kaktusar"
8387,"dómþing","n n","það þegar mál er tekið fyrir við dómstól, réttarhald"
5504,"bikkja","n f","lélegur hestur"
61572,"kvennakór","n m","kór skipaður konum"
6789,"brekka","n f","halli í landi, brekka"
10313,"Evrópuréttur","n m","réttarkerfi, lög og samningar Evrópulanda (samningar um Evrópska efnahagssvæðið, Maastricht-samningur, Amsterdam-samningur, Nice-samningur, samningar um Evrópubandalagið (Rómarsamningar) o.s.frv.)"
6836,"brennsla","n f","það að brenna e-ð; bruni"
6767,"breiðgata","n f","mjög breið gata með trjám til beggja hliða"
9486,"einbeiting","n f","það að einbeita sér"
9449,"eilífðarvél","n f","vél sem á að geta gengið endalaust á orku sem hún framleiðir sjálf"
9505,"eindrægni","n f","gott samkomulag, samlyndi"
10092,"endurgjöf","n f","svörun, t.d. frá kennara eða tölvu við gerð verkefnis"
10081,"endurfjármögnun","n f","það að fjármagna að nýju"
10118,"endurmenntun","n f","það að bæta við menntun sína á tilteknu sviði eftir að eiginlegu námi er lokið"
49284,"erfðatækni","n f","tækni þar sem fengist er við litningahluta eða einstök gen í lífverum, notuð m.a. í lyfjaframleiðslu og við plöntukynbætur"
10234,"erfðaleiga","n f","leiga (leiguréttur) sem gengur að erfðum"
14024,"fuglahræða","n f","fatagarmar sem hengdir eru á tré í varpi eða nýrækt til að hræða burtu fugla eða önnur dýr"
14021,"fuglafræði","n f","grein dýrafræði sem fjallar um fugla"
15513,"gíslataka","n f","það að taka gísl til tryggingar því að samningar takist (haldist) eða farið sé eftir fyrirmælum"
15498,"gína","n f","líkan af mannslíkama til að sýna/sníða föt"
50097,"Gínea","n f","ríki í Vestur-Afríku"
61573,"flamingói","n m","háfættur, bleikur fugl, flæmingi"
61574,"flamingófugl","n m","háfættur, bleikur fugl, flæmingi"
64795,"úthlutunarnefnd","n f","nefnd sem sér um að úthluta fjármunum, t.d. styrkjum"
54178,"skipandi","adj","með skipunartón, sem skipar fyrir"
18601,"heilsuverndarstöð","n f","aðsetur eða miðstöð heilsugæslu fyrir almenning, heilsugæslustöð"
18775,"heimskreppa","n f","efnahagssamdráttur um allan heim"
20343,"hnúta","n f","gildasti hluti leggs við liðamót, bein"
20278,"hnitmiðun","n f","nákvæmt og markvisst orðalag"
21035,"hrognataka","n f","það að taka, kreista, hrogn úr hrygnu (ýmist til klaks eða frekari vinnslu á neytendamarkað)"
22109,"hæna","n f","alifugl sem verpir eggjum"
22094,"hækja","n f","stafur fyrir þann sem er fótbrotinn eða getur ekki stigið í fótinn"
23051,"jarðleysa","n f","snjóalög svo að ekki er hægt að beita búfé í haga, hagleysa, jarðbann"
61577,"efrivör","n f","efri vör á munni"
55620,"gjafapappír","n m","skrautlegur pappír sem notaður er utan um gjafir"
23723,"kennslufræði","n f","fræðigrein þar sem fjallað er um  kennslu og aðferðir hennar"
61578,"Helsinki","n f","höfuðborg Finnlands, Helsingfors"
23833,"kirkjutónlist","n f","tónlist til flutnings við helgisiðahald kristinnar kirkju"
24228,"klukknahringing","n f","hringing kirkjuklukkna"
25147,"kvos","n f","þröng lægð í landið"
25121,"kvinna","n f","kona"
25318,"kæra","n f","formlegt erindi til yfirvalds um að refsivert athæfi hafi átt sér stað"
61581,"símritun","n f","fjarskiptasendingar með sérstöku kerfi"
57287,"læknismeðferð","n f","meðferð hjá lækni"
27390,"lögjöfnun","n f","það að beita lagaákvæði um ólögákveðið atriði sem er eðlisskylt (samkynja) því er rúmast innan lagaákvæðisins"
58846,"menningarstofnun","n f","stofnun sem sinnir menningarstarfi"
28592,"miskunnsemi","n f","það að vera miskunnsamur, það að sýna miskunn"
29166,"mæling","n f","það að mæla e-ð, mat á e-u samkvæmt kvarða"
29173,"mælskufræði","n f","listin að setja mál sitt vel fram, mælskulist"
60248,"kyrrsetning","n f","það að kyrrsetja e-ð, t.d. fé eða eignir"
29575,"náttúrugáfa","n f","meðfæddur hæfileiki"
56992,"neyðarlending","n f","lausn sem menn verða að sætta sig við, illskásti kosturinn"
65310,"viðhengdur","adj","sem búið er að festa sem fylgiskjal við tölvupóstskeyti"
64781,"útfararþjónusta","n f","þjónusta útfararstofu vegna jarðarfarar"
8952,"dys","n f","óvirðuleg gröf (ekki í vígðri mold), oft hulin grjóti"
55874,"orðheldni","n f","það að standa við orð sín, vera orðheldinn"
30720,"orðmyndun","n f","það að mynda orð; það þegar orð myndast"
31281,"ólyfjan","n f","eitraður drykkur"
59809,"prentlist","n f","prentiðn"
34391,"samlanda","n f","kona sem er frá sama landi og ég"
34575,"samæfing","n f","sameiginleg æfing"
34433,"samningsréttur","n m","réttur til að semja"
34551,"samviska","n f","tilfinning fyrir því hvað einstaklingur álítur að sé siðferðilega rétt eða röng breytni"
58519,"setningarathöfn","n f","athöfn þegar e-r (stór) viðburður byrjar, t.d. íþróttamót"
61582,"blásarasveit","n f","hljómsveit þar sem leikið er á blásturshljóðfæri"
58563,"sjúkrahúsdvöl","n f","það að dveljast á sjúkrahúsi, sjúkrahúsvist"
35861,"sjúkrakarfa","n f","burðarkarfa til að flytja í sjúka eða slasaða"
61583,"kynbundinn","adj","sem varðar aðeins annað kynið"
22623,"inni við","adv","inni í húsi"
35830,"sjóveð","n n","veðréttur í skipi og/eða farmi sem fylgir vissum kröfum"
3572,"athyglisgáfa","n f","hæfileiki til að veita e-u athygli"
36583,"skíðabinding","n f","útbúnaður til að festa skíði á skíðaskó"
58646,"skurðgoðadýrkun","n f","dýrkun hjáguða eða mynda af slíkum guðum; að gera það að guðveru sem er ekki guð"
42191,"tóvinna","n f","vinna með ull í höndunum, t.d. þegar kembt er eða spunnið band"
58271,"slagveðursrigning","n f","mikil rigning og stormur"
59002,"sælutilfinning","n f","tilfinning sem einkennist af gleði og vellíðan"
40935,"sæla","n f","mikil vellíðan og gleði"
59122,"textaútgáfa","n f","útgáfa ritverks með nákvæmri rannsókn og samanburði allra varðveittra texta"
39786,"strax og","conj","samtenging: strax þegar, undireins og"
41410,"tekjuskerðing","n f","lækkun tekna"
41405,"tekjujöfnun","n f","það að jafna tekjur milli manna"
48662,"teiknun","n f","það að teikna"
41393,"teista","n f","sjófugl af svartfuglaætt, alsvartur með hvítan blett á væg og hárauða fætur"
34466,"samsekt","n f","hlutdeild í sök með öðrum"
41636,"tilhlökkun","n f","það að hlakka til"
47317,"þó að","conj","samtenging í aukasetningu (tekur ávallt viðtengingarhátt af sögninni á eftir)"
41959,"tjaldskör","n f","vængur við op á tjaldi"
57641,"tónlistarmenning","n f","menning að því er varðar tónlist"
42121,"tóft","n f","veggjaleifar húss"
42227,"traustsyfirlýsing","n f","ákveðin yfirlýsing e-s (e-a) um að tilteknum aðila sé treystandi"
61584,"kynferðisafbrotamaður","n m","kynferðisglæpamaður"
30592,"og","conj","samtenging, getur tengt allar tegundir liða (nafnliði, lo-liði, ao-liði, aðalsetningar og aukasetningar)"
42827,"ugla","n f","fugl af ætt Strigidae"
47332,"þótt","conj","samtenging í aukasetningu (tekur ávallt viðtengingarhátt af sögninni á eftir)"
30481,"offra","v","fórna (e-u)"
55559,"umferðargata","n f","gata þar sem er mikil umferð"
44040,"úti við","adv","fyrir utan/úti fyrir bæ eða húsi, undir beru lofti"
10057,"enda þótt","conj","samtenging í aukasetningu (tekur ávallt viðtengingarhátt af sögninni á eftir)"
59256,"undirstöðuþekking","n f","nauðsynleg þekking sem leggur grunn að annarri þekkingu"
43262,"unnur","n f","alda, bylgja; sjór"
60232,"jafnvel þótt","conj","samtenging í aukasetningu (tekur ávallt viðtengingarhátt af sögninni á eftir)"
47406,"þrátt fyrir að","conj","samtenging í aukasetningu (tekur oftast viðtengingarhátt af sögninni á eftir)"
43613,"uppsögn","n f","það að segja e-m/e-u upp"
48749,"úðun","n f","það að úða, einkum eitri á gróður gegn skordýrum"
58270,"úrhellisrigning","n f","mjög mikil rigning"
61585,"kynferðisafbrot","n n","kynferðisbrot"
44655,"varúð","n f","aðgætni, varkárni"
45095,"vending","n f","það að breyta stefnu einhvers, snúningur"
53173,"sektargerð","n f","tilkynning lögreglustjóra til sakaðs manns um að máli hans megi ljúka án þess að lagt verði fyrir dóm gegn greiðslu tiltekinnar sektar"
62642,"brjóstastækkun","n f","fegrunaraðgerð þar sem fylling er sett í brjóstin"
62650,"brúnkukrem","n n","krem með efni sem gefur húðinni sólbrúnan lit"
45533,"viðkynning","n f","það að kynnast einhverjum"
45486,"viðbót","n f","það sem bætt er við eitthvað"
45638,"viðvörun","n f","ábending eða orðsending í varnaðarskyni"
53174,"sérdómstóll","n m","dómstóll sem er frábrugðinn almennum héraðsdómstólum að því er varðar skipan dómsins, lögsagnarumdæmi eða málefni þau sem koma til meðferðar dómsins (landsdómur og félagsdómur eru sérdómstólar)"
60241,"en","conj","samanburðartenging, tengir saman tvo liði í samanburði, felur í sér einhvers konar ójöfnuð, oft er miðstig af lýsingarorði eða atviksorði í fyrri liðnum"
45824,"vinnuregla","n f","ákveðin regla sem fylgt er við vinnu"
45801,"vinnugleði","n f","dugnaður í starfi, blandinn ánægju"
45919,"vissa","n f","það að vita e-ð"
35118,"sérákvæði","n n","lagaákvæði sem gildir aðeins um tiltekinn flokk tilvika"
55254,"vörurýrnun","n f","það að vörubirgðir í verslun eða á lager minnka óeðlilega"
61586,"á döfinni","adv","fyrirhugaður, væntanlegur"
47021,"þingsályktunartillaga","n f","frumvarp þess efnis að Alþingi lýsi stefnu sinni í tilteknu máli án þess að um lög sé að ræða (oft er um að ræða áskorun á ríkisstjórnina)"
36142,"skattþegn","n m","sá eða sú sem greiðir skatt, skattgreiðandi"
47199,"þjófavörn","n f","viðvörunarkerfi til að hindra innbrot og þjófnað"
47322,"þófta","n f","borð, setfjöl þvert yfir bát eða minna skip (til að sitja á við róður)"
57870,"þránun","n f","það að e-ð þránar"
35599,"sjálfsákvörðunarréttur","n m","réttur til að ákveða eitthvað sjálfur"
47558,"þróunarhjálp","n f","þróunaraðstoð"
59832,"þöggun","n f","kerfisbundin aðferð til að koma í veg fyrir að fólk tjái skoðanir sínar"
57211,"æðaloka","n f","loka í æð sem stjórnar því að blóð flæði aðeins í eina átt"
57305,"ævintýralöngun","n f","þrá eftir að lenda í ævintýrum"
48038,"þægindi","n npl","e-ð sem léttir störf, gerir hlutina auðveldari"
24199,"klofvega","adv","með fæturna sinn hvorum megin, t.d. á hesti"
7657,"bæjaryfirvöld","n npl","opinberir stjórnendur eða forráðamenn bæjarfélags"
27091,"lúalegur","adj","ódrengilegur, ómerkilegur"
5531,"bindindissamur","adj","sem stundar bindindi"
31647,"óttablandinn","adj","blandinn ótta, hræddur"
44497,"vankantar","n mpl","e-ð sem þarf að lagafæra, gallar"
54483,"landflutningar","n mpl","flutningar á landi"
42097,"tortryggja","v","treysta eða trúa (e-m) illa, hyggja að svik búi undir"
44119,"út og inn","adv","fullkomlega, til fulls"
46398,"vöruflutningar","n mpl","það að flytja vörur"
44838,"veðurguðir","n mpl","þau öfl, goðmögn, sem ráða veðrinu"
62647,"bruggmeistari","n m","starfsmaður í brugghúsi sem hefur yfirumsjón með ölgerðinni"
17190,"gælur","n fpl","blíðleg atlot"
21092,"hrókaræður","n fpl","djúpar samræður"
28301,"metaskálar","n fpl","vog, vogarskálar"
26628,"líkamsmeiðingar","n fpl","það að veita öðrum áverka á líkamanum"
22532,"innansleikjur","n fpl","eitthvað pínulítið sem er eftir (t.d. úr krukku, af verkefni)"
50597,"gulertur","n fpl","matbaunir sem vaxa á sérstakri jurt"
27378,"löggjafarþing","n n","
þing sem hefur vald til lagasetningar"
59889,"klíð","n n","hýði utan af korni,  m.a. hveiti"
2762,"afturgenginn","adj","orðinn að afturgöngu, kominn á kreik meðal lifenda eftir dauðann"
44818,"veðsetja","v","láta (e-ð) vera tryggingu fyrir skuld"
12139,"flokkspólitískur","adj","sem fylgir stjórnmálastefnu ákveðins flokks"
36424,"skilorðsdómur","n m","refsidómur þar sem frestað er ákvörðun um hegningu eða fullnustu refsingar um tiltekinn tíma með því skilyrði að sakborningur brjóti ekki aftur af sér á þeim tíma, skilorðsbundinn dómur"
2479,"affarasæll","adj","farsæll, hagstæður"
27380,"löggjöf","n f","sett lög, það að segja lög"
51769,"andaður","adj","dáinn"
35681,"sjávarkambur","n m","malarhryggur efst í fjöru, fjörukambur"
3269,"andlýðræðislegur","adj","sem er ekki í samrými við lýðræðisreglur"
3509,"asnalegur","adj","fáránlegur, bjánalegur"
3417,"arðbær","adj","sem gefur ágóða"
3427,"arðvænlegur","adj","líklegur til að gefa arð, gróðavænlegur"
3552,"athafnasamur","adj","kraftmikill og duglegur"
3439,"arflaus","adj","sem erfir ekkert, fær engan arf"
3724,"auðþekktur","adj","sem þekkist auðveldlega"
3464,"argvítugur","adj","orð sem lýsir andúð eða óbeit, bölvaður"
59570,"dapurlega","adv","á dapurlegan hátt"
3984,"áfallinn","adj","sem er til greiðslu, sem á að borga"
4259,"ánægjulegur","adj","sem vekur ánægju, gleðilegur"
4329,"áríðandi","adj","mikilvægur, sem liggur á"
4343,"árrisull","adj","sem fer snemma á fætur"
4728,"balderaður","adj","baldýraður"
28587,"miskunna","v","sýna (e-m) miskunn"
5173,"beinvaxinn","adj","með beinan vöxt"
6022,"blokkera","v","mynda fyrirstöðu, hindra (e-ð)"
5744,"bjúgur","adj","boginn"
5822,"blandinn","adj","blandaður"
52069,"blíðlegur","adj","blíður og hlýlegur"
6582,"bóngóður","adj","sem auðvelt er að leita til um aðstoð, biðja um hjálp"
51772,"bogmyndaður","adj","eins og bogi í laginu"
60242,"en hvað","int","haft til áherslu, tjáir tilfinningar, s.s. hrifningu eða undrun"
6741,"bráðsmitandi","adj","sem smitast hratt"
6724,"bráðfeigur","adj","sem brátt á að deyja"
31261,"ólíkindalegur","adj","sem erfitt er að ráða í, óræður"
51777,"bungumyndaður","adj","með bungum, með ávölum ójöfnum"
53988,"djúpsteiktur","adj","steiktur á kafi í feiti"
8446,"drambsamur","adj","sem lítur stórt á sig, álítur aðra menn vera sér síðri"
8688,"drumbslegur","adj","þegjandalegur og óvinsamlegur"
46057,"víkjandi","adj","sem víkur, má sín minna, verður undir"
8817,"dumbrauður","adj","með óskærum dimmrauðum lit"
8874,"dúnmjúkur","adj","mjúkur eins og dúnn, mjög mjúkur"
9987,"ellilegur","adj","gamall á að líta"
9047,"dæll","adj","vingjarnlegur, þægilegur"
9227,"efri","adj","lengra uppi"
9104,"eðla","adj","göfugur, eðalborinn"
14354,"fyrirgefast","v","vera fyrirgefið (e-ð)"
55407,"dökkfjólublár","adj","með dökkum fjólubláum lit"
9398,"eigingjarn","adj","sem tekur eigin hag og þarfir fram fyrir annarra"
9082,"dönskuskotinn","adj","sem sýnir merki um mikil dönsk áhrif"
51298,"enskumælandi","adj","sem talar ensku"
10803,"fáorður","adj","sem segir fátt, fámæltur"
36553,"skiptastjóri","n m","lögmaður eða annar löghæfur maður sem skipaður er af héraðsdómara til að annast búskipti"
11181,"fiktsamur","adj","gjarn á að fikta, handleika hluti óvarlegea"
60245,"þannig að","conj","samtenging, táknar afleiðingu sem lýst er í afleiðingarsetningu"
11236,"finnskur","adj","frá Finnlandi eða kenndur við Finnland"
11307,"fiskinn","adj","sem veiðir vel, aflasæll"
53268,"fífilbleikur","adj","ljósbrúnn með bleikri slikju"
11654,"fjármálalegur","adj","sem varðar fjármál"
54569,"fjórréttaður","adj","með fjórum matarréttum"
11560,"fjarstýrður","adj","sem stýrt er með sérstöku tæki úr fjarlægð (skammt eða langt frá)"
11936,"flatbotnaður","adj","með flötum botni"
12104,"fljótfær","adj","sem er of fljótur að framkvæma"
12427,"flæmskur","adj","frá Flæmingjalandi eða kenndur við Flæmingjaland"
12448,"flöskugrænn","adj","með fremur dökkum, grænum lit"
12243,"flugbrattur","adj","mjög brattur"
12501,"fordómafullur","adj","sem er með fordóma"
62639,"bráðavakt","n f","móttaka á sjúkrahúsi fyrir neyðartilfelli"
12660,"forneskjulegur","adj","með gamalt yfirbragð"
13515,"freyðandi","adj","með froðu"
13721,"frostlaus","adj","með hitastig fyrir ofan 0 gráður á Celsíus"
14140,"fullþroskaður","adj","alveg þroskaður"
60244,"miklu","adv","til áherslu með lýsingarorði og atviksorði í miðstigi: mikið"
14718,"gagnvarinn","adj","meðhöndlaður með efni til að verjast fúa"
14713,"gagnsær","adj","sem sést í gegnum"
14708,"gagnstæður","adj","öfugur við e-ð annað, andstæður"
35726,"sjóhræðsla","n f","hræðsla við að vera á sjó"
15190,"geistlegur","adj","sem varðar presta eða prestastéttina"
51701,"gerilsneyddur","adj","hitaður til að eyða gerlum"
15101,"gegnheill","adj","eins í gegn, ekki bara spónlagður á yfirborðinu"
15586,"gjarn","adj","hneigður til e-s, með tilhneigingu til e-s"
15670,"glaðlyndur","adj","glaður að eðlisfari"
15678,"glaðvaknaður","adj","vel vaknaður"
59818,"glottandi","adj","sem glottir"
15912,"glóðheitur","adj","heitur eins og glóð, mjög heitur"
59644,"gotinn","adj","búinn að gjóta"
59305,"greyptur","adj","með t.d. gimsteinum felldum í, sem búið að er greypa t.d. gimstein í"
62608,"bogfimi","n f","íþróttagrein þar sem ör er skotið af boga"
16670,"grjótharður","adj","harður eins og grjót"
16656,"grískur","adj","frá Grikkalandi"
16963,"guðlegur","adj","kominn frá guði, guðdómlegur"
66509,"herrafatnaður","n m",""
17393,"hagfræðilegur","adj","sem varðar hagfræði eða efnahagsmál, efnahagslegur"
17640,"handbær","adj","sem er tiltækur, við höndina"
17432,"hagnýtur","adj","sem hafa má gagn af, gagnlegur, þarfur"
17499,"haldgóður","adj","sem mikið gagn er að, traustur"
17529,"hallærislegur","adj","ekki flottur, ekki samkvæmt tískunni"
27418,"lögræði","n n","full réttindi einstaklings í samfélaginu, sjálfræði og fjárræði, fæst við 18 ára aldur en getur tapast við úrskurð dómara"
59669,"handsaumaður","adj","saumaður í höndunum"
18093,"hálfsíður","adj","sem nær dálítið niður fyrir hné"
18281,"hátíðlegur","adj","sem hefur hátíðarblæ, virðulegur"
19166,"hernuminn","adj","sem hefur verið tekinn með hervaldi"
19035,"hentugur","adj","sem hentar vel, heppilegur"
19514,"hispurslaus","adj","opinskár, hreinskilinn og laus við uppgerð"
19351,"hégómagjarn","adj","sem vill lyfta persónu sinni með lítilsverðum hlutum sem litlu máli skipta"
20154,"hlýðinn","adj","sem hlýðir, sem gerir það sem honum er sagt að gera"
12267,"flughræðsla","n f","ótti við að vera í flugvél"
20574,"hólóttur","adj","með mörgum hólum"
20417,"holdugur","adj","feitur"
21199,"hræðsla","n f","það að finna til ótta, óttatilfinning"
62609,"boltaíþrótt","n f","íþróttagrein þar sem leikið er með bolta, t.d. handbolti, fótbolti og körfubolti"
21370,"hugstola","adj","í miklu tilfinningauppnámi, viti sínu fjær, ekki með sjálfum sér"
59627,"hugmyndasnauður","adj","sem hefur fáar hugmyndir"
21419,"hulinn","adj","falinn (af e-u)"
22157,"hættur","adj","sem gerir e-ð ekki lengur"
20253,"hneykslun","n f","það ástand að vera hneyslaður, áköf vanþóknun"
22372,"iðnvæddur","adj","sem hefur iðnað"
22448,"illúðlegur","adj","sem ber vott um grimmd"
51547,"lögvarinn","adj","sem er varinn í lögum, nýtur lögverndar"
57097,"íklæddur","adj","klæddur (e-u)"
23124,"járnbentur","adj","styrktur (á sérstakan hátt) með steypustyrktarjárni"
50264,"írakskur","adj","frá Írak, íraskur"
23230,"júgóslavneskur","adj","frá Júgóslavíu"
56539,"keilulagaður","adj","eins og keila í laginu"
23389,"kammó","adj","vingjarnlegur"
42628,"tvístra","v","dreifa (e-u) víða, í allar áttir"
59842,"kjökrandi","adj","sem er að kjökra, hálfgrátandi"
23799,"kinnfiskasoginn","adj","með innfallnar kinnar"
32407,"púpa","n f","hylkið sem fullþroska skordýr kemur úr"
23829,"kirkjurækinn","adj","sem fer reglulega í kirkju"
38671,"spéhræðsla","n f","hræðsla við háð og spott annarra"
52608,"kristaltær","adj","mjög tær og hreinn"
24520,"kólgaður","adj","með þungum skýjum"
24939,"kúnstugur","adj","skrýtinn og hlægilegur"
24978,"kvalinn","adj","sem finnur til kvala eða sársauka, sem þjáist"
46480,"yfirgengilegur","adj","sem fer yfir strikið, taumlaus"
25331,"kærulaus","adj","sem vandar sig ekki, sem hefur litlar áhyggjur af gangi mála"
25259,"kyrkingslegur","adj","sem þrífst illa, rýr"
25705,"laskaður","adj","dálítið skemmdur"
65314,"samskiptaerfiðleikar","n mpl","erfiðleikar í samskiptum milli manna"
26155,"lemjandi","adj","(til áherslu) mikill"
26269,"leyndur","adj","falinn, dulinn"
26927,"loftþéttur","adj","sem hleypir ekki í gegnum sig lofti"
27052,"luktur","adj","lokaður, umlukinn"
28091,"meðvitaður","adj","sem maður áttar sig á, gerir sér fulla grein fyrir"
28859,"móðursjúkur","adj","æstur og spenntur á taugum, hysterískur"
29864,"niðursoðinn","adj","soðinn niður í dós eða krukku"
30042,"notaður","adj","sem e-r hefur átt áður"
47201,"þjófhræddur","adj","hræddur við innbrot eða þjófnað"
55974,"ofbeldishneigður","adj","sem hefur tilhneigingu til að sýna ofbeldi"
30846,"óbilgjarn","adj","sem hliðrar ekki til, sem svífst einskis til að ná fram sínu, ósanngjarn"
30574,"ofvaxinn","adj","of stór og mikill"
30488,"ofhaldinn","adj","sem hefur of góða afkomu, of góð laun"
54676,"óafvitandi","adj","sem gerir sér ekki grein fyrir gerðum sínum"
37100,"skrif","n npl","(frumsamið) ritað mál af ýmsu tagi"
30873,"óbyggilegur","adj","sem ekki er hægt að búa á"
54791,"ófóðraður","adj","sem er með engu fóðri"
59646,"óinnbundinn","adj","sem ekki er búið að binda inn"
33069,"rekkjuvoðir","n fpl","sængurföt"
31524,"óskemmdur","adj","ekki skemmdur"
31661,"ótækur","adj","sem ekki er hægt að samþykkja, ómögulegur"
51449,"ótímabundinn","adj","sem er ekki bundinn ákveðnum tíma"
59004,"ósærður","adj","sem hefur ekki særst"
31939,"pennalatur","adj","latur við skriftir, einkum bréfaskriftir"
31743,"óvígður","adj","sem hefur ekki hlotið vígslu"
31582,"óstaðfestur","adj","sem ekki er búið að staðfesta"
32260,"pressaður","adj","sem búið er að pressa"
51985,"rammgerður","adj","sterklega smíðaður eða byggður, traustur"
32476,"raðtengdur","adj","tengdur í röð, hvert á eftir öðru, eins og t.d. ljósalengja"
32401,"púkó","adj","púkalegur"
50342,"útikerti","n n","kerti til að hafa utanhúss"
33118,"rennandi","adj","sem rennur"
33320,"rifjasteik","n f","svínasteik úr hryggstykki með rifjum"
34228,"samanlagður","adj","lagður saman úr tveimur eða fleiri þáttum"
34217,"samanbrotinn","adj","sem er búið að brjóta saman"
51762,"samlyndur","adj","sem hefur með sér gott samkomulag"
50259,"sádi-arabískur","adj","frá Sádi-Arabíu eða kenndur við Sádi-Arabíu"
64780,"útafakstur","n m","það þegar bíl (eða öðru ökutæki) er ekið út af vegi"
34557,"samviskusamur","adj","sem býr yfir mikilli skyldurækni og ábyrgðartilfinningu"
59263,"seinunninn","adj","sem gengur seinlega að vinna"
34850,"sefjandi","adj","sem sefjar, dáleiðir"
35206,"sérþjálfaður","adj","þjálfaður til ákveðins starfa eða verks"
35456,"sígildur","adj","sem fyrnist ekki, er alltaf í gildi, klassískur"
52609,"silfurtær","adj","tær og hreinn svo minnir á silfur"
35411,"síðastliðinn","adj","næstur okkur í tímaröð miðað við núverandi tímapunkt, á nýliðnum tíma"
35621,"sjálfskipaður","adj","sem tekur sjálfur að sér ákveðið hlutverk"
35570,"sjálfdauður","adj","sem hefur dáið náttúrulega"
31515,"óskandi","adj","æskilegt, sem óskað er eftir"
36084,"skarpvitur","adj","mjög gáfaður, skarpur, mjög skarpskyggn"
36272,"skeleggur","adj","röskur, djarfur"
55201,"aftur á bak","adv","í stefnu aftur á við, til baka, aftur fyrir sig"
36799,"skoplegur","adj","sem brosa má að, broslegur, fyndinn"
48888,"skjóttur","adj","tvílitur, ljós og dökkur á víxl"
48889,"skjöldóttur","adj","með stórum flekkjum á feldinum (einkum svörtum á hvítum grunni)"
31506,"óska","v","eiga sér ósk, langa (til e-s)"
54798,"sléttbotna","adj","með sléttum botni"
59845,"skælandi","adj","grátandi"
50278,"slóvenskur","adj","frá Slóveníu eða kenndur við Slóveníu"
64783,"útflutningsvara","n f","vara sem flutt er út og seld í öðru landi"
38127,"sniðinn","adj","mótaður og klipptur"
38601,"spánskur","adj","frá Spáni eða kenndur við Spán"
59660,"sótthreinsaður","adj","hreinsaður af öllum sýklum"
52227,"staðkunnugur","adj","sem þekkir vel staðhætti"
